Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Synthetic fuels;Synthetic fuels;Biomass methanation; BIOMETHANATION ;1122.22;15.54545455;0;20;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass hydrolysis; BIO_HYDROLYSIS ;1811.76;123.526815;0;15;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline and diesel; PYROLYSIS_TO_FUELS ;2554.01;116.0842435;0;25;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to LFO; PYROLYSIS_TO_LFO ;2593.5;72.2;0;25;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric; ATM_CCS ;5342.73;132.624;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Carbon capture from industry; INDUSTRY_CCS ;2671.37;66.312;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation; SYN_METHANOLATION ;2647.88;75.14119601;0;20;0.9443;0;1;0;0;
Synthetic fuels;Synthetic fuels;Methane to methanol; METHANE_TO_METHANOL ;1511.16;66.07714896;0;25;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass methanolation; BIOMASS_TO_METHANOL ;4788;73.15;0;20;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia); HABER_BOSCH ;963.97;18.84698835;0;20;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Amonia to H2; AMMONIA_TO_H2 ;775.33;71.54781261;0;25;0.85484;0;1;0;0;
Synthetic fuels;Synthetic fuels;Oil to HVC; OIL_TO_HVC ;449.55;2.390016639;0;15;0.994;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Gas to HVC; GAS_TO_HVC ;907.75;22.69375242;0;25;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass to HVC; BIOMASS_TO_HVC ;3311.7;98.8;0;20;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Methanol to HVC; METHANOL_TO_HVC ;793.49;71.41369717;0;20;0.994;0;1;0;0;
Storage;Electricity storage;Batteries; BATT_LI ;1118.6;0.775025166;61.3;15;1;0;1;0;0;
Storage;Electricity storage;Batteries of electric cars; BEV_BATT ;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;Batteries of plug-in hybrid cars; PHEV_BATT ;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;Pumped hydro storage; PHS ;58.8;0;8.33;50;1;0;1;0;0;
Storage;Thermal storage;Decentralised direct elec; TS_DEC_DIRECT_ELEC  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised electrical heat pumps; TS_DEC_HP_ELEC  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas; TS_DEC_THHP_GAS  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogeneration gas; TS_DEC_COGEN_GAS  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogenration oil; TS_DEC_COGEN_OIL  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas; TS_DEC_ADVCOGEN_GAS  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2; TS_DEC_ADVCOGEN_H2  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler gas; TS_DEC_BOILER_GAS  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler wood; TS_DEC_BOILER_WOOD  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler oil; TS_DEC_BOILER_OIL  ;18.97;0.132802697;0;20;1;0;1;0;0;
Storage;Thermal storage;Centralised daily; TS_DHN_DAILY ;3;0.0086;0;40;1;0;1;0;0;
Storage;Thermal storage;Centralised seasonal; TS_DHN_SEASONAL ;0.59;0.003222222;0;25;1;0;1;0;0;
Storage;Thermal storage;Thermal storage industries; TS_HIGH_TEMP ;28.03;0.3;0;25;1;0;1;0;0;
Storage;Other storage;Gas storage; GAS_STORAGE ;0.05;0.001309164;0;50;1;0;1;0;0;
Storage;Other storage;Hydrogen storage; H2_STORAGE ;6.19;0.39;0;20;1;0;1;0;0;
