{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;SOLAR
7351;0.000101;0.000114155;0.000143;0.000114155;2.01E-01;0.005766234;0;0.687361183;0.238714088;0.158750269
7352;0.00011235;0.000114155;0.00019;0.000114155;0.421916881;0.036038964;0;0.632129823;0.247517726;0.363643336
7353;0.000123749;0.000114155;0.000168;0.000114155;0.624175328;0.070636369;0;0.6428857;0.25022654;0.555231979
7354;0.000128697;1.14E-04;0.000165;0.000114155;0.787062198;0.102350657;0;0.614762535;0.247517726;0.711552815
7355;0.000132273;1.14E-04;0.000179;0.000114155;0.896731368;0.131181828;0;0.559432497;0.25022654;0.817118215
7356;0.000132592;1.14E-04;0.000196;0.000114155;0.944203788;0.170103908;0;0.540444074;0.24582472;0.862949127
7357;0.000131285;1.14E-04;0.000195;0.000114155;0.925375688;0.243623394;0;0.480659439;0.222461212;0.844941781
7358;0.00013729;1.14E-04;0.000185;0.000114155;0.842717537;0.299844177;0;0.569638599;0.225847229;0.765566646
7359;0.000139939;1.14E-04;0.000199;0.000114155;0.702762538;0.325792231;0;0.674998268;0.285102498;0.630536173
7360;0.000138914;1.14E-04;0.000216;0.000114155;0.516927382;0.283987033;0;0.661338443;0.49842147;0.453729312
7361;0.000135949;1.14E-04;0.000224;0.000114155;3.01E-01;0.183077935;0;0.6704168;0.495035455;0.250600866
7362;0.000130462;1.14E-04;0.000198;0.000114155;0.08640079;0.082168837;0;0.628521035;0.745600595;0.057674395
7363;0.000143292;1.14E-04;1.37E-04;0.000114155;0;0.031714288;0;0.745355521;0.874607782;0
7364;0.000147934;0.000114155;9.07E-05;0.000114155;0;0.011532468;0;0.862556523;0.875284986;0
7365;0.000144869;0.000114155;6.33E-05;0.000114155;0;0.008649351;0;0.803307568;0.870544564;0
7366;0.000136367;0.000114155;4.11E-05;0.000114155;0;0.007207793;0;0.69865274;0.866481345;0
7367;0.000124741;0.000114155;2.46E-05;0.000114155;0;0.01009091;0;0.701754041;0.349775393;0
7368;1.14E-04;0.000114155;8.08E-06;0.000114155;0;0.012974027;0;0.693225462;0.229233244;0
7369;1.00E-04;0.000114155;6.77E-06;0.000114155;0;0.012974027;0;0.663706711;0.228217439;0
7370;9.65E-05;0.000114155;3.75E-06;0.000114155;0;0.01009091;0;0.630550978;0.224154221;0
7371;9.35E-05;0.000114155;2.38E-06;0.000114155;0;0.008649351;0;0.60151152;0.224831423;0
7372;9.18E-05;0.000114155;8.30E-06;0.000114155;0;0.007207793;0;0.599989063;0.225847229;0
7373;9.09E-05;0.000114155;2.49E-05;0.000114155;0;0.005766234;0;0.601892133;0.251580946;0
7374;9.20E-05;0.000114155;6.93E-05;0.000114155;0.014773575;0.004324676;0;0.602653363;0.256659969;0
7375;0.000086;0.000114155;0.000143;0.000114155;2.10E-01;0.001441559;0;0.544687218;0.258014375;0.166227339
7376;0.0000906;1.14E-04;0.00019;0.000114155;0.437585078;0.002883117;0;0.56292851;0.254628358;0.377670025
7377;0.0000962;1.14E-04;0.000168;0.000114155;0.648034651;0.012974027;0;0.615044471;0.254628358;0.578270548
7378;0.000101;1.14E-04;0.000165;0.000114155;0.818300101;0.023064937;0;0.653007221;0.251242344;0.74114921
7379;0.000104;1.14E-04;0.000179;0.000114155;0.932064835;0.041805198;0;0.655488262;0.242438704;0.850810173
7380;0.000105;1.14E-04;0.000196;0.000114155;0.980341594;0.066311693;0;0.662762224;0.245486117;0.897445424
7381;0.000105;1.14E-04;0.000195;0.000114155;0.959880193;0.096584423;0;0.695297695;0.456434878;0.877804777
7382;0.000105;1.14E-04;0.000185;0.000114155;0.873126479;0.131181828;0;0.683005264;0.458466488;0.79433408
7383;0.000106;1.14E-04;0.000199;0.000114155;0.72826337;0.14848053;0;0.683174426;0.459482293;0.65521625
7384;0.000102;1.14E-04;0.000216;0.000114155;0.537520104;0.15857144;0;0.694184047;0.462868308;0.472680526
7385;0.000102;1.14E-04;0.000224;0.000114155;0.316359689;0.161454557;0;0.68652947;0.45474187;0.264652178
7386;0.000104;1.14E-04;0.000198;0.000114155;0.093065314;0.116766242;0;0.701556686;0.739167166;0.06269741
7387;0.000126106;1.14E-04;1.37E-04;0.000114155;0;0.051896108;0;0.745524682;0.844810847;0
7388;0.000126849;1.14E-04;9.07E-05;0.000114155;0;0.017298703;0;0.752671773;0.879348204;0
7389;0.000123016;1.14E-04;6.33E-05;0.000114155;0;0.004324676;0;0.75144535;0.872914774;0
7390;0.000114949;1.14E-04;4.11E-05;0.000114155;0;0.002883117;0;0.706603349;0.8566619;0
7391;0.000104;0.000114155;2.46E-05;0.000114155;0;0.002883117;0;0.686557664;0.362980853;0
7392;9.52E-05;0.000114155;8.08E-06;0.000114155;0;0.002883117;0;0.671741901;0.239052688;0
7393;9.54E-05;0.000114155;6.77E-06;0.000114155;0;0.005766234;0;0.397178043;0.144582858;0
7394;9.27E-05;0.000114155;3.75E-06;0.000114155;0;0.008649351;0;0.384124382;0.143905655;0
7395;9.06E-05;0.000114155;2.38E-06;0.000114155;0;0.011532468;0;0.372381727;0.142551249;0
7396;9.00E-05;0.000114155;8.30E-06;0.000114155;0;0.012974027;0;0.364727151;0.14492146;0
7397;9.13E-05;0.000114155;2.49E-05;0.000114155;0;0.012974027;0;0.367800259;0.147630272;0
7398;9.56E-05;0.000114155;6.93E-05;0.000114155;0.016415083;0.01009091;0;0.439581292;0.133747609;0
7399;0.0000983;0.000114155;0.000143;0.000114155;2.13E-01;0.001441559;0;0.496405593;0.132054602;0.168730639
7400;0.000107;0.000114155;0.00019;0.000114155;0.438455078;0.002883117;0;0.507076888;0.178781613;0.378540024
7401;0.000114226;1.14E-04;0.000168;0.000114155;0.64233041;0.008649351;0;0.537554225;0.174379794;0.572566307
7402;0.000116194;1.14E-04;0.000165;0.000114155;0.739532325;0.024506495;0;0.485001261;0.172686786;0.445702337
7403;0.000118052;1.14E-04;0.000179;0.000114155;0.863310259;0.056220783;0;0.463433119;0.147968873;0.40532944
7404;0.000117109;1.14E-04;0.000196;0.000114155;0.831317262;0.096584423;0;0.459514201;0.143228452;0.24037427
7405;0.000114033;1.14E-04;0.000195;0.000114155;0.809197937;0.126857152;0;0.409738314;0.154402303;0.161622908
7406;0.000116486;1.14E-04;0.000185;0.000114155;0.723880543;0.142714296;0;0.41481317;0.167269161;0.194494112
7407;0.000118064;1.14E-04;0.000199;0.000114155;0.582842149;0.142714296;0;0.462700085;0.17776581;0.23155937
7408;0.000117728;1.14E-04;0.000216;0.000114155;0.478992125;0.142714296;0;0.507894505;0.393454993;0.298426211
7409;0.000116856;1.14E-04;0.000224;0.000114155;0.284120466;0.131181828;0;0.482125508;0.399549819;0.20779033
7410;0.000123285;1.14E-04;0.000198;0.000114155;0.0661;0.090818188;0;0.620781879;0.685668123;0.024245078
7411;0.000138016;1.14E-04;1.37E-04;0.000114155;0;0.037480522;0;0.830683602;0.817722722;0
7412;0.000136304;1.14E-04;9.07E-05;0.000114155;0;0.01009091;0;0.770335095;0.817384122;0
7413;0.000131931;1.14E-04;6.33E-05;0.000114155;0;0.004324676;0;0.669895217;0.816368317;0
7414;0.000122888;1.14E-04;4.11E-05;0.000114155;0;0.01009091;0;0.585553913;0.786232781;0
7415;0.000110323;1.14E-04;2.46E-05;0.000114155;0;0.017298703;0;0.544066958;0.507563711;0
7416;0.0001;1.14E-04;8.08E-06;0.000114155;0;0.023064937;0;0.474978419;0.141196843;0
7417;9.65E-05;1.14E-04;6.77E-06;0.000114155;0;0.028831171;0;0.358792387;0.19977491;0
7418;9.34E-05;1.14E-04;3.75E-06;0.000114155;0;0.030272729;0;0.317150366;0.19537309;0
7419;9.13E-05;1.14E-04;2.38E-06;0.000114155;0;0.031714288;0;0.314105452;0.195711692;0
7420;9.08E-05;1.14E-04;8.30E-06;0.000114155;0;0.033155847;0;0.328582893;0.195034488;0
