param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
CB	ST_SNG	982.1038492	14.73155774	1024.32	25	0.340444644	0.0	1.0	0.0	0.0
CB	STOVE_WOOD	0.0	0.0	75.0	10	1.0	0.0	1.0	0.002619109	0.002719109
CB	STOVE_LPG	0.0	0.0	75.0	10	1.0	0.0	1.0	0.091547769	0.091647769
CB	STOVE_NG	0.0	0.0	75.0	10	1.0	0.0	1.0	0.022642808	0.022742808
CB	STOVE_OIL	0.0	0.0	75.0	10	1.0	0.0	1.0	0.000183044	0.000283044
CB	STOVE_ELEC	0.0	0.0	75.0	10	0.1875	0.0	1.0	0.008097926	0.008197926
CB	AIR_LFO	0.0	0.0	0.0	15	0.114155251	0.0	1.0	0.0	Infinity
CB	FERMENTATION_TO_BIOETHANOL	2554.01	116.0842435	0.0	25	0.92	0.0	1.0	0.011848552	0.011948552
CB	ESTERIFICATION_TO_BIODIESEL	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
CB	IND_ENG_DIESEL	384.6	5.769001632	516.55	25	0.9	0.0	1.0	0.023274364	0.023374364
CB	IND_BURNER_LPG	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.001238494	0.001338494
CB	BUS_COACH_GASOLINE	930.384	30.55555556	0.0	15	0.296803653	0.37916104	0.37916104	0.0	Infinity
CH	NUCLEAR	4845.73	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
CH	CCGT	898.0	22.45	183.79	25	0.377371468	0.0	1.0	0.0	0.0
CH	CCGT_AMMONIA	802.5	20.32459833	183.79	25	0.59	0.0	1.0	0.0	0.0
CH	COAL_US	2571.42	30.0225445	331.6	35	0.865396	0.0	1.0	0.0	0.0
CH	COAL_IGCC	3316.37	49.47283735	331.6	35	0.853432	0.0	1.0	0.0	0.0
CH	PV	1051.13	26.01945647	2081.43	25	1.0	0.0	1.0	0.0	0.0
CH	WIND_ONSHORE	1629.13	24.41867298	622.85	30	1.0	0.0	1.0	0.0	0.0
CH	WIND_OFFSHORE	5219.54	36.31492615	622.85	30	1.0	0.0	1.0	0.0	0.0
