param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
SACHA	RES_SOLAR	Infinity	Infinity	0.0	0.0
SACHA	RES_HYDRO	Infinity	Infinity	0.0	0.0
SACHA	RES_GEO	Infinity	Infinity	0.0	0.0
SACHA	CO2_ATM	Infinity	Infinity	0.0	0.0
SACHA	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SACHA	CO2_CAPTURED	0.0	0.0	0.0	0.0
SACHA	LPG	0.0	Infinity	0.28360908	0.021578745
SACHQ	WOOD	72900.0	0.0	0.0118	0.016980597
SACHQ	WET_BIOMASS	21141.14981	0.0	0.0118	0.010318121
SACHQ	WASTE	0.0	0.0	0.1501	0.021187834
SACHQ	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SACHQ	GASOLINE	0.0	Infinity	0.3448	0.124118331
SACHQ	DIESEL	0.0	Infinity	0.3148	0.111311495
SACHQ	BIOETHANOL	0.0	0.0	0.0	0.122502774
SACHQ	BIODIESEL	0.0	0.0	0.0	0.131394244
SACHQ	LFO	0.0	Infinity	0.3115	0.085115655
SACHQ	GAS	477.4322454	0.0	0.2666	0.010662519
SACHQ	GAS_RE	0.0	0.0	0.0	0.132345636
SACHQ	COAL	0.0	0.0	0.4014	0.015545445
SACHQ	URANIUM	0.0	0.0	0.0039	0.003876456
SACHQ	H2	0.0	0.0	0.414044616	0.077642645
SACHQ	H2_RE	0.0	0.0	0.0	0.137854413
SACHQ	AMMONIA	0.0	0.0	0.285	0.071991938
SACHQ	METHANOL	0.0	0.0	0.35	0.081184572
SACHQ	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SACHQ	METHANOL_RE	0.0	0.0	0.0	0.122502774
SACHQ	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SACHQ	RES_WIND	Infinity	Infinity	0.0	0.0
SACHQ	RES_SOLAR	Infinity	Infinity	0.0	0.0
SACHQ	RES_HYDRO	Infinity	Infinity	0.0	0.0
SACHQ	RES_GEO	Infinity	Infinity	0.0	0.0
SACHQ	CO2_ATM	Infinity	Infinity	0.0	0.0
SACHQ	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SACHQ	CO2_CAPTURED	0.0	0.0	0.0	0.0
SACHQ	LPG	0.0	Infinity	0.28360908	0.021578745
SAEE	WOOD	72900.0	0.0	0.0118	0.016980597
SAEE	WET_BIOMASS	21141.14981	0.0	0.0118	0.010318121
SAEE	WASTE	0.0	0.0	0.1501	0.021187834
SAEE	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SAEE	GASOLINE	0.0	Infinity	0.3448	0.124118331
SAEE	DIESEL	0.0	Infinity	0.3148	0.111311495
SAEE	BIOETHANOL	0.0	0.0	0.0	0.122502774
