param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION := 
SASM	ELECTRICITY	4.300362	4.76379	0.0003	0.0
SASM	LIGHTING	0.477818	0.40915	0.0003	0.0
SASM	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SASM	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SASM	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SASM	COOKING	0.0	0.0	0.0	0.0
SASM	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SASM	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SASM	NON_ENERGY	0.0	0.0	0.0	0.0
SATA	ELECTRICITY	0.65772	0.3227	5e-05	0.0
SATA	LIGHTING	0.07308	0.4339	5e-05	0.0
SATA	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SATA	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SATA	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SATA	COOKING	0.0	0.0	0.0	0.0
SATA	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SATA	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SATA	NON_ENERGY	0.0	0.0	0.0	0.0
SAVC	ELECTRICITY	15.321474	11.34951	1.07294	0.0
SAVC	LIGHTING	1.702386	2.08483	1.07294	0.0
SAVC	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SAVC	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SAVC	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SAVC	COOKING	0.0	0.0	0.0	0.0
SAVC	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAVC	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAVC	NON_ENERGY	0.0	0.0	0.0	0.0
SAYA	ELECTRICITY	0.137277	0.05189	0.0001	0.0
SAYA	LIGHTING	0.015253	0.03148	0.0001	0.0
SAYA	HEAT_HIGH_T	0.0	0.0	0.0	0.0
SAYA	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SAYA	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0
SAYA	COOKING	0.0	0.0	0.0	0.0
SAYA	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0
SAYA	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0
SAYA	NON_ENERGY	0.0	0.0	0.0	0.0
SC	ELECTRICITY	702.8661224	880.3969374	484.8926553	0.0
SC	LIGHTING	159.6272807	131.6357058	484.8926553	0.0
SC	HEAT_HIGH_T	0.0	19.24693123	5926.784407	0.0
SC	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
SC	HEAT_LOW_T_HW	492.5137854	0.0	0.0	0.0
SC	COOKING	1283.415651	71.07944076	0.0	0.0
SC	MOBILITY_PASSENGER	0.0	0.0	0.0	27687.36662
SC	MOBILITY_FREIGHT	0.0	0.0	0.0	6148.248756
SC	NON_ENERGY	0.0	0.0	60.4310196	0.0
